,execution_dataset=collection_scoped,execution_dataset=collection_unbounded,execution_dataset=single_asset_from_user,execution_dataset=single_event_data,execution_dataset=single_user_prompt,execution_dataset=unknown
generate_stand_up,0.04935797248872436,0.09721677496179676,-0.03032432108230353,-0.04782311226168264,-0.04857398817819249,-0.0037058204183577858
get_cursor_agent,0.009582931931426848,-0.0020233495169081116,-0.0021029607762823215,-0.0035276608445699307,-0.003563885346267368,-0.00042279033529502507
gmail_create_draft,0.032300158355732037,0.018506334158496743,-0.015262811272045743,-0.012957684179848413,-0.022710015366684492,-0.0002498177238583213
gmail_fetch_drafts,0.022435131127197944,0.00988132921145465,-0.009309766869778085,-0.01383354490902318,-0.009687289066980978,-0.0011471911001595077
launch_cursor_agent,0.012899414999324411,-0.0027235949596684022,-0.002830758266330177,-0.004748521802783882,-0.004797282963134616,-0.0005691105844953782
list_available_calendars,-0.0012899142211085246,0.010857290201508982,-0.0020860461779932753,-0.00228745258788058,-0.003535220194896017,0.007565114680642707
load_assets,0.09063969137492645,-0.03348836486879309,-0.060625895985243115,0.15326983313416875,-0.18116337836242144,-0.0016490340742854272
load_custom_fields,0.09495410579364608,-0.04690627746722807,-0.070340675336851,0.11113952109790823,-0.12616380280331502,-0.01138139048197332
load_web_pages,-0.0032374170188893573,0.06528849972469053,-0.03244053333522443,-0.024217356602790684,0.006313816218937993,-0.0040769279887349266
manage_personal_priorities,0.025893823928831064,0.09018942446576032,-0.023016132152368408,-0.03528932686872057,-0.03723633581158947,-0.001439560771555031
move_task_to_list,0.010018285806333542,-0.001465172377276305,-0.008482927194213164,0.018590143801963502,-0.02212514740281428,0.0010034716340469928
post_chat_message,0.21154375868400924,0.20562142446740939,-0.10006369552456737,-0.1408132028207105,-0.15064868893765265,-0.002737478993816685
post_reply,-0.2699433437395629,-0.15619462699952297,0.17950350350142585,-0.012603463203394344,0.27570427810032194,-0.005973842964619082
post_slack_message,0.02790117573859561,0.024290783053596582,-0.01538684347530843,-0.011639625251791887,-0.023671368678522403,0.002099895868088706
post_task_comment,0.07332870906380731,0.008790142307337094,-0.07576105000192725,0.0959673115384042,-0.12352899824015105,-0.006754445170118079
read_memory,0.21692379093760775,0.13745544400700038,-0.10878059073971884,-0.1026933442601172,-0.14540343256890034,0.0229518339188714
reflect,-0.0012898676251392907,0.0038807536599491715,-0.003122642044140353,0.006318296300340661,-0.005291938084753016,-0.0006277924399438185
rename_memory,-0.0026313418741918653,0.000897036780055827,0.007542494946380275,-0.0007419340425289609,-0.0024039654189171415,-0.000323101794847444
retrieve_activity,0.2160445395561655,0.148698636083685,-0.0890833733176822,-0.11888893321917697,-0.14468294055131387,-0.010621581285278557
retrieve_chat_messages,0.013496841455928095,0.019439286054160905,0.016670985883229097,-0.022563984826391752,-0.01630940207796205,-0.002746891449084915
retrieve_personal_priorities,0.04238557161434382,0.21246872727604937,-0.05123470653857775,-0.07662270739287876,-0.07792944959928985,0.003366444648314063
retrieve_tasks_by_filters,0.3808582771293606,0.21270685830358724,-0.15631154771537806,-0.17527231546943114,-0.25727927163377884,-0.009699692822190393
search_clickup_help_center,0.019766550288238142,0.0055019531422976,-0.012158013400787043,-0.008013641077892215,-0.00922685038918704,0.008658402129400876
search_clickup_support_resources,0.004409185399593188,0.005147562991995422,-0.011010670052344065,-0.006087126694164099,0.004850980784332431,0.0053825643650234015
search_google_calendar,0.07409201156985085,0.04347909793221124,-0.03354667715021781,-0.048467424363480074,-0.03739456378437139,0.013426765721646593
search_public_web,-0.01542966595769309,0.1343719799926205,-0.04314578544992241,-0.0533547549066878,0.007090898800543947,0.00345975322860791
search_users_and_teams,0.04684570536013278,0.06613273298407385,-0.027261639971207695,-0.01680407584454666,-0.05782702919445781,-0.002786487274875681
search_workspace,0.20228853387772877,0.08503395998994398,-0.08721221462353072,-0.08777271411128199,-0.12133437569739672,0.0042736338798027755
todo_write,0.3710872491890586,0.24269979131058772,-0.198209046753586,-0.08298846135661363,-0.3304475681761691,-0.00582421731018726
update_chat_message,-0.0018002284352023102,-0.0019675658836713276,-0.0036591321635485027,0.010518112301731454,-0.004535160249664802,-0.0007356512455027286
update_comment,0.007632097469901219,-0.004899816839801752,-0.0100222319935172,0.02132944520631927,-0.01854519857750966,-0.0013533166392003372
update_document,0.051499339111890356,0.022889935374286845,-0.024782111465594735,-0.019435619014249297,-0.03405134367161886,0.008924370414937923
update_google_calendar_event,0.007269982165473279,0.004563471193661545,-0.007678864649111201,-0.007859705233208994,0.0025759279579739944,-0.00033757409959765856
update_task,0.05588742726063198,-0.007854686842017554,-0.053023948165585706,0.08209997368382788,-0.0962082770542559,-0.006509200356918933
view_tools_catalog,0.06326857262413794,0.04167487822592461,-0.02384692067958447,-0.028733963994674313,-0.05064647222384516,0.009064189284300203
write_memory,0.06825033555541156,0.03573270631998714,-0.039162385184915056,-0.033742998259357136,-0.03623037875712524,0.010656452495720538
