,use_case_context=entertainment,use_case_context=general_productivity,use_case_context=personal_productivity,use_case_context=personal_use_case,use_case_context=specific_use_case,use_case_context=test_or_placeholder,use_case_context=unknown
generate_image,0.020827741696244174,-0.043185558005453456,0.02425473047566325,0.010978430150447346,0.022047336213883825,-0.0038111103161054876,-0.0023392102583404397
generate_project_summary,-0.008587084829159524,0.07840598577996064,-0.02231982461966405,-0.04544420171009304,-0.035140569257502106,-0.00022958686369546668,-0.0016737566100165997
generate_project_update,-0.006869643002621096,0.06741391412452025,-0.01874316198832716,-0.0355386336641481,-0.032902699523605514,-0.0004367234941900566,-0.0013390004422742722
generate_stand_up,-0.005975209332206663,0.09444912841089696,-0.004844247511765448,-0.033394036606873886,-0.06699256496983103,-0.0019637514817750054,-0.0011646613856722268
get_cursor_agent,-0.00040631868228807296,0.007717252153656959,-0.0013582784768919754,-0.0024151693097999192,-0.005291485004203963,-0.00013353656249586064,-7.919784115134341e-05
gmail_create_draft,-0.003596902179618863,0.004604862071202796,-0.006395453814898878,-0.017316209862563183,0.0106318769030212,3.9571058199519705e-05,-0.000701092270368253
gmail_fetch_drafts,-0.0018164705524039819,0.004055016021814679,-0.001837220515599458,-0.00729259868234981,0.002087587516270815,-0.00037091721791582553,-0.0003540584091661142
launch_cursor_agent,-0.00054693838402669,0.010388056483839142,-0.0018283546083239688,-0.0032510166453933588,-0.0071227742741321225,-0.0001797512024027107,-0.0001066068117119151
list_available_calendars,-0.00040305056746361756,0.004106252123240434,0.0012476400177348764,-0.002395743546306844,-0.002862478955527096,-0.0001324624971414398,-7.856083465862357e-05
load_assets,-0.030678572911482054,-0.020153518216711134,-0.04667682333131748,-0.08152831479907405,0.10038134497722159,-0.003268715739627138,-0.00612311794823194
load_custom_fields,-0.015542337298557836,-0.026966875543224706,-0.03642196812792141,-0.07461044663042683,0.09572351361443977,-0.0004488370104641544,-0.003252715310760445
load_web_pages,0.006899587250760606,-0.08111284260364578,-0.017607977991439105,0.008594236317553575,0.08062245179927277,-0.003052677147556351,0.0019753862942469935
manage_personal_priorities,-0.004533775344290071,0.053220783530475546,0.03170692098954034,-0.020304176751181072,-0.05124909972316018,-0.0014900244586237403,-0.0008837034455590099
move_task_to_list,-0.003504875807680099,0.010126192296011112,0.0049367044567838955,-0.014084650913031516,-0.0018567100355349076,-0.0005803719214984145,-0.0006831548968133329
post_chat_message,-0.002570460167749274,0.11614723272362218,0.02721096496808197,-0.04213302268057917,-0.0962200136660221,-0.005347300253466414,-0.005158177502403811
post_reply,0.015337927792226293,-0.1067334916264188,-0.009423475007848174,0.11542741339269864,0.02771519810491497,-0.004388084720143956,-0.001270210421341303
post_slack_message,-0.003062775358863295,0.024603017316328565,-0.009817886685363786,-0.01814289821967148,-0.0070558940321098365,-0.0010065805756617119,-0.0005969826319271652
post_task_comment,-0.01584002648513495,0.03215282669467509,-0.03003479602909638,-0.07487668157245367,0.03497366020769998,-0.0006666559847023764,-0.0015834704773572043
read_memory,-0.005435022965281222,0.010924058739112067,0.031217739826523684,-0.026589397128802872,-0.004815487509951223,-0.0032292649404806694,-0.0026918153554588435
reflect,-0.0006033340302596806,0.002340941196454898,-0.002016879024768132,-0.003586233902008957,0.0011210271456070133,-0.00019828562148302176,-0.00011759920174142978
rename_memory,-0.0003105139464356825,-0.0005835855692649802,-0.0010380138265937387,-0.001724609554520631,0.002254385118725246,-0.00010205035313795165,-6.052400560714276e-05
retrieve_activity,-0.01669440076194802,0.1535582388686359,-0.022711991458228335,-0.08632665124197446,-0.07951489525883658,-0.0038370973575050107,-0.002791405253560983
retrieve_chat_messages,-0.0017505037786182634,0.012992372886027889,-0.006157659065492016,0.010591858824940051,-0.017110915111592143,-0.0026847782202601414,-0.00014640988963207172
retrieve_personal_priorities,-0.009980538218890483,0.12858345175211403,0.058106304248971286,-0.04665943102912585,-0.11772227824885306,-0.003280102106317329,-0.0019453623840613688
retrieve_tasks_by_filters,-0.03124975460992802,0.14285404268981933,0.02227238521058617,-0.10372201623298662,-0.07400364325583995,-0.008019738440296955,-0.005054609822819772
search_clickup_help_center,-0.0024360078186148656,0.0015200978950483798,0.0007178585498314278,0.007403750198020809,-0.006630114174771078,0.0013542423491131076,-0.00047481587402204307
search_clickup_support_resources,-0.002352338300919725,0.012832068983960929,-0.002024395545578762,-0.006288076987000287,-0.007108600067408002,-1.987590525035711e-05,-0.0004585073815492999
search_google_calendar,-0.007485211075147301,0.05154047682879651,0.05556406925741345,-0.020969168689473988,-0.058870996274163936,-0.00246001328539083,-0.0014589842494456414
search_public_web,0.02126271808459456,-0.09673999249691814,-0.009287611827232216,0.036923681842967175,0.07086984687923834,0.002421982680488054,-0.0019336469585637037
search_users_and_teams,-0.007906262173489553,0.062498735621746064,-0.02312420904353371,-0.044935336547894104,-0.019473263342991345,-0.002627251974703592,-0.001558170142080573
search_workspace,-0.02179866286111744,-0.02265687324871942,-0.007715883974774503,-0.04722326703031068,0.061274858672724766,-0.0019792195101082798,-0.004492758552211702
todo_write,-0.03850498430363644,0.11887998971776954,0.0013633441960212702,-0.1244941814284524,-0.025991090539005144,-0.00947669242487607,-0.009851750119562089
update_chat_message,-0.0007069907226892234,-0.00027600013010215695,-0.0023258107240177184,-0.004158494263181147,0.0042401027502282414,-0.0002323523749701729,-0.00013780350594688796
update_comment,-0.0019169672960479335,-0.00320718628350811,-0.005964185033763124,-0.011256972069780618,0.013490591823049099,0.005541315470820463,-0.0004971692862712886
update_document,-0.005490458127951143,-0.012334194973514075,-0.008649250469291214,-0.011860115988431362,0.024736010697070866,0.0012834909415981224,-0.001726220300136508
update_google_calendar_event,-0.0019247503151342117,0.006447037006360853,0.023659359567416844,0.0005420350813705147,-0.016529252745965773,-0.0006325688479261725,-0.0003751638217952417
update_task,-0.013346403894060251,0.03223560461176644,-0.008853429979070931,-0.0499815711219684,0.008315593996960129,0.0008909475244737184,-0.002841688854258638
view_tools_catalog,-0.011527144982826004,0.0018299719888084742,0.008552835616192953,-0.04136744842206523,0.024555183328103494,0.0033554903180338085,-0.003727770001018257
write_memory,-0.005435938361872472,-0.020040541905311692,0.012504048749303396,-0.027715598966436564,0.03424291289839011,0.0014894839025728134,-0.003078372913736472
