,tone_and_persona=casual_friendly,tone_and_persona=empathetic_supportive,tone_and_persona=professional_formal,tone_and_persona=technical_precise,tone_and_persona=unknown
generate_project_update,-0.02575421595160461,-0.02815576112465859,0.0502359061558787,-0.012648463321637951,-0.010158247862404782
generate_stand_up,-0.006338389259025498,-0.015966643777743098,0.026041863546932394,-0.017199636527668833,-0.006816016201140608
get_cursor_agent,-0.004223605943376916,-0.0021191980223795844,-0.001741622730604255,-0.0016473300989904094,0.032669410805550934
gmail_create_draft,-0.014387749521548702,-0.012591670459065259,0.02651998668308976,-0.008269628369524858,-0.004799014546524168
gmail_fetch_drafts,-0.006521073775037938,-0.007684344166246661,0.012564960736737752,-0.0019021945184350124,-0.0032153603638543724
launch_cursor_agent,-0.0056853211780163995,-0.0028526149358081973,-0.0005403267696464939,-0.0022174418789377573,0.03644280343417549
list_available_calendars,-0.00241782159585888,-0.0012324716530566142,0.001655808123624761,-0.0016340802432689293,0.009121258835832636
load_assets,-0.12063312654745716,-0.05962543163237804,0.11693944222766191,0.055890854757189176,0.01926895951687955
load_custom_fields,-0.08437495292937365,-0.06128474166282916,0.08364938312794862,0.057068625340153396,0.0185912194594325
load_web_pages,-0.02505023265002722,-0.020656026160647555,0.018909933976605692,0.03605830963166555,-0.0034083872138776384
manage_personal_priorities,-0.0004458499635982945,0.02322370126349226,-0.005419321030771263,-0.014935203376286491,-0.0042663932925282415
move_task_to_list,-0.009136856606364575,-0.007115013546386782,0.010165996315659306,0.004402539178778777,0.0023429571324773304
post_chat_message,-0.019423637137527327,0.012004580931894113,0.02770618217130141,-0.029646087668819435,-0.008790716236307804
post_reply,0.09629705327402759,0.03968921908331845,-0.10382875063067042,-0.01190839723131071,-0.019694204743010497
post_slack_message,-0.0065452651902995,-0.013355438267529787,0.013335450044879812,0.0024194476006902123,-0.0007577697498581851
post_task_comment,-0.0693493116235689,-0.03363010210651624,0.08130755233818263,0.008505282389424147,6.57672936529241e-05
read_memory,-0.05531849063467663,0.013062628867475374,0.031247414596537557,0.0074349062635413144,0.03614749619841428
reflect,-0.005861137283362848,-0.0031467523879547834,0.004612126929503041,-0.0019359831898663976,0.015783912006970286
rename_memory,-0.0026813037142811936,-0.0015234515469819561,0.003962949659494659,-0.0012589107821459856,0.00048098617476769704
retrieve_activity,-0.06189835736478297,-0.03514380631002356,0.0889044217087614,-0.011359946712168813,-0.015242628651724092
retrieve_chat_messages,-0.004332012687031863,0.002390438541987795,0.0024017938834749574,-0.0014567435303638725,0.0037607019209684738
retrieve_personal_priorities,0.010315827458788642,0.04744924180746212,-0.019802762913711882,-0.03285014487798533,-0.011185928819392454
retrieve_tasks_by_filters,-0.07703553517415353,-0.02021408553160155,0.09382928327721045,-0.020092549598679486,0.0030388220379063443
search_clickup_help_center,0.012160692361508078,0.0020555142466737552,-0.01467336506076793,-0.003232159786424323,0.01527722392205068
search_clickup_support_resources,0.0027120798461136263,0.006710528628392323,-0.007652833589821823,-0.0007196421684121368,0.005569271279421226
search_google_calendar,0.002265443563341108,0.0007093824203962351,0.006731465852808837,-0.01850045137691762,-4.942286636803909e-05
search_public_web,-0.030685058826137333,-0.015498095391097788,0.016306981145612538,0.04143637322061215,0.004888084709257787
search_users_and_teams,-0.02999307341148354,-0.025230225621217996,0.046178736482833486,-0.004286937759586481,-0.001724946323210407
search_workspace,-0.07034841913081849,-0.03143799455767045,0.0720631642079114,0.017552995632302747,0.017970853518230825
todo_write,-0.12899085751632397,-0.04593214550382273,0.14170604625454583,0.009423128861764614,0.01042689141803062
update_chat_message,-0.003637872468253455,0.001929787192667027,0.00048397329779702956,0.00297351585892431,0.0009736637263553373
update_comment,-0.008694421613839445,-0.007971394397493847,0.011703869298268998,0.0019480885069936618,0.0015418551496194693
update_document,-0.040708115177058773,-0.013675261638331033,0.03192073309208438,0.02529840862461956,0.007888219343942474
update_google_calendar_event,0.004972319680071035,0.0007099154667457007,-0.0035089090381779384,-0.003937919528644616,0.001659863061519244
update_task,-0.05868173839135857,-0.02717347963846869,0.05133934654703862,0.032211918609925484,0.01728919259183578
view_tools_catalog,-0.037234679142152824,-0.033762208526349036,0.04734572512179048,0.0067424508974088465,0.020579959501079145
write_memory,-0.04140454941443588,-0.007888250002324494,0.028952242863951448,0.023174782213794595,0.012520470059174659
